text,label
"오늘은 날씨가 좋아서 친구와 카페에 갔다.","human"
"AI 모델은 주어진 데이터를 바탕으로 언어 패턴을 학습한다.","ai"
"요즘엔 책을 많이 읽으며 글쓰기 연습을 하고 있다.","human"
"이 문장은 ChatGPT가 자동으로 생성한 예시 문장입니다.","ai"
"점심으로 먹은 김치찌개가 정말 맛있었다.","human"
"대규모 언어 모델은 인간의 언어를 통계적으로 예측한다.","ai"
"비 오는 날에는 커피 한 잔이 잘 어울린다.","human"
"이 글은 인공지능이 작성한 문장으로 실험에 사용됩니다.","ai"
"주말에는 가족과 함께 영화를 봤다.","human"
"AI 시스템은 자연어 생성(NLG) 기술을 통해 문장을 생성한다.","ai"
"아침 햇살이 따뜻하게 방 안을 비췄다.","human"
"인공지능은 사람의 문체를 모방할 수 있다.","ai"
"나는 내일 도서관에 가서 공부할 예정이다.","human"
"이 문장은 GPT 모델이 작성한 예시입니다.","ai"
"어제 본 영화가 생각보다 재미있었다.","human"
"AI는 주어진 입력에 따라 합리적인 문장을 생성한다.","ai"
"하늘이 맑고 바람이 선선해서 기분이 좋다.","human"
"인공지능은 대규모 데이터셋에서 언어 구조를 학습한다.","ai"
"친구와 함께 저녁을 먹으며 이야기를 나눴다.","human"
"이 문장은 OpenAI의 ChatGPT가 생성한 문장입니다.","ai"
